Area,Habitaciones,Precio
189,3,816480
95,6,707940
437,2,1630884
279,4,1336968
74,7,960890
54,3,207036
241,4,1739056
100,3,429600
218,6,2133348
218,7,1316938
507,1,1081938
502,6,4493904
545,5,3302700
222,2,424908
143,2,589732
289,1,215016
207,7,1417122
561,4,1911888
597,6,4653018
89,1,98434
33,1,31581
424,3,689424
111,1,221889
467,5,4548580
215,2,264880
132,2,652344
117,4,1027260
400,4,889600
89,2,158420
156,5,927420
457,3,3320562
429,6,2965248
511,2,538594
438,2,1536504
199,5,1548220
96,5,1143360
242,2,1071092
335,2,933310
435,5,2570850
470,7,3724280
541,5,2153180
419,1,393860
482,5,2614850
179,7,2227834
182,1,345618
517,6,3784440
266,1,450870
440,1,1001880
563,2,1200316
82,2,342596
263,1,337692
267,2,786582
192,2,655872
194,4,1207456
436,6,1459728
86,7,1500184
331,4,1868164
567,3,3553389
79,4,237948
206,2,258324
572,1,754468
240,4,1676160
163,2,607664
322,3,1366890
267,7,2928723
431,4,1296448
426,5,1763640
512,5,3758080
368,7,3822784
548,6,4774176
220,5,1108800
287,7,3095869
285,1,375060
415,6,5007390
273,2,522522
447,2,1232826
273,1,616980
191,2,534418
557,2,2720388
104,3,239616
545,3,2387100
509,1,307945
478,1,527712
338,6,2664792
409,7,6235614
498,2,1584636
47,5,244635
312,7,3566472
239,3,1091274
92,7,758632
53,5,620895
121,1,243573
61,1,123098
376,4,2128160
173,2,246006
401,1,731424
549,1,1072746
284,5,1601760
97,6,1393308
328,7,2468200
493,4,1855652
377,3,1263327
234,2,825084
328,4,1339552
68,6,363120
519,4,3985920
208,4,1699776
398,7,5992686
267,2,909402
156,4,1241136
152,6,556320
294,6,3081708
197,2,649706
350,4,1345400
199,3,466854
298,7,4576684
380,2,1051840
306,3,1127304
184,7,1463168
181,2,361276
508,6,6672072
549,1,335439
38,6,534660
538,2,2057312
485,5,1864825
322,5,3487260
280,7,2695000
143,7,1348347
379,2,736776
460,2,1423240
382,7,1893192
520,7,8692320
53,1,31376
371,4,1485484
549,7,4626972
424,7,3715936
307,4,771184
293,1,718143
125,5,996250
253,5,1431980
550,7,5316850
484,1,731324
346,5,2444490
535,3,2389845
206,6,662496
229,6,2208018
223,1,549249
489,1,927633
192,1,443520
88,7,1276968
303,7,5294016
345,3,1165410
168,2,234864
536,7,3084144
292,3,1276332
545,5,2610550
384,1,859392
364,1,573664
93,7,1195887
583,5,2133780
448,6,3306240
205,3,1213395
234,5,1948050
548,5,2748220
226,3,1209552
420,1,352800
510,1,1144440
45,6,341820
453,5,2731590
330,2,1421640
243,5,1715580
109,4,439052
247,2,431756
449,2,710318
411,6,6142806
141,3,285102
62,5,163990
580,4,5375440
316,2,1409360
345,5,3115350
455,1,1097915
540,3,3560760
295,6,1577070
349,1,386692
115,5,746925
346,2,1712700
73,3,312732
381,1,311658
592,1,995744
128,2,144640
141,7,1955247
547,3,2714214
590,6,5674620
184,6,1362336
239,2,1136206
214,4,603480
130,5,646100
458,2,1066224
392,2,1371216
44,3,309540
371,3,1756314
277,2,377828
141,6,1788444
129,2,457176
364,1,726180
175,4,1002400
469,3,2787267
596,5,5352080
415,1,286350
598,1,332488
177,1,155760
335,6,1674330
425,3,2393175
241,6,1926072
127,1,272542
234,2,248976
509,7,5800564
190,6,2455560
260,6,1182480
108,7,1002456
357,7,2661435
357,6,3120894
471,2,1459158
550,5,3649250
333,2,1321344
70,2,150220
91,6,731640
331,5,2197840
185,3,538905
441,3,1244943
508,1,701548
142,1,219958
398,1,560782
586,3,4259634
493,3,2690301
282,1,595302
203,1,491869
495,2,2247300
531,2,1129968
437,2,1048800
109,7,1223852
336,2,758688
174,7,2322726
318,4,676704
541,6,6466032
442,3,796926
549,1,557235
484,1,1090936
219,6,1076166
445,3,3111885
496,3,3493824
378,4,1861272
39,3,277758
46,1,68080
255,6,3272670
442,3,2173314
236,1,164256
549,6,7345620
211,1,229146
348,5,2409900
498,1,566226
92,6,1046040
425,7,5524575
293,4,2060376
593,2,1535870
164,3,654360
354,1,832962
38,1,38988
327,3,543474
473,7,3966578
180,1,423900
273,3,1701882
193,7,2146739
277,4,1229880
375,1,730875
94,6,675672
436,3,1391712
308,1,179872
261,4,2219544
149,3,947640
249,3,747747
582,7,6787284
279,3,1966950
550,2,1661000
203,7,2211076
271,6,3892644
226,3,1359390
182,2,372372
212,5,1550780
402,3,1894626
211,6,796314
84,3,464940
116,1,201492
440,3,900240
199,3,1214895
499,7,5064850
276,1,213348
336,6,2846592
329,6,1129128
374,3,1206150
209,2,480700
450,6,2840400
117,5,1263600
196,5,2135420
427,7,4381874
585,5,5194800
335,7,5489645
320,2,1317760
100,5,586000
418,3,979374
434,3,2204286
174,4,1080888
581,5,6757030
192,6,1683072
72,1,49320
248,2,935952
213,2,717384
580,7,7194320
317,5,1084140
527,3,1285353
572,1,1220076
365,2,914690
288,3,2080512
256,4,1324032
146,5,1764410
210,5,2006550
302,6,1531140
223,3,1125258
120,7,1966440
215,7,1238615
504,7,7913304
266,7,3541524
437,1,457539
489,7,5103693
92,1,61824
484,5,4075280
181,4,876764
59,7,759094
110,1,109890
75,6,819450
448,2,1180032
289,1,202589
310,5,1960750
305,7,3778950
218,5,2590930
459,7,6255711
598,1,535808
452,5,4553900
451,2,1550538
209,5,1029325
213,6,1378962
418,3,675906
441,1,483777
592,6,2614272
599,2,1514272
39,1,62712
213,6,1800702
330,2,663300
531,3,2150550
556,2,2020504
336,4,1572480
90,2,360540
343,6,2364642
128,1,169216
88,7,976360
230,5,1477750
223,4,2228216
48,7,720384
516,1,607848
223,4,818856
586,2,1946692
56,4,308224
540,7,8905680
451,7,3794714
132,6,1737648
505,2,2416930
437,6,5396076
260,5,2609100
590,5,3035550
217,6,2589678
342,3,1963764
162,5,876420
445,7,2946790
36,2,83232
119,6,1592934
495,7,4452525
318,6,2459412
291,6,2760426
476,1,968660
119,1,266441
124,5,928140
593,2,1206162
75,6,612450
172,7,1217244
64,1,54016
489,1,1162353
75,2,187200
531,3,2889702
417,3,1944054
84,3,276696
225,7,3346875
437,6,4884786
165,6,551430
244,5,2953620
576,5,4417920
145,7,599865
319,7,2547853
549,1,1023885
560,4,1581440
585,6,8223930
405,6,5919480
35,2,152530
584,1,881256
467,5,4389800
183,3,730170
455,3,2889705
474,1,859362
517,2,1090870
330,2,850740
500,6,3309000
503,2,1417454
79,2,342702
188,3,548772
426,7,2012850
226,4,1965296
598,1,642850
261,4,1323792
340,1,669800
325,5,1516125
236,2,968544
188,7,2051644
524,4,1351920
564,2,762528
274,4,2153640
221,2,764218
539,5,3950870
120,1,171480
309,5,3137895
428,1,636864
366,1,817278
598,2,1399320
591,7,9726087
422,6,6248976
147,4,1281840
331,1,747729
561,7,9295209
81,1,76788
599,4,2738628
55,7,722260
208,1,252512
596,7,10092068
67,2,214802
126,1,197316
450,3,1657800
437,3,3179175
229,3,1667349
576,5,3896640
238,7,1071238
193,6,2426010
370,1,868760
358,2,1179968
314,5,1391020
584,3,2882040
88,5,550000
280,5,789600
91,6,620256
204,3,1082016
591,6,4148820
206,4,1522752
53,5,497140
52,5,591500
181,4,1632620
455,4,3370640
201,7,1948695
216,2,583200
244,5,812520
191,4,1569256
207,3,888030
241,4,1522156
511,7,5186650
110,4,879560
146,4,1248592
387,7,1833993
451,4,4243008
591,3,2957364
420,7,6029940
214,7,1393140
410,4,1484200
500,2,1705000
105,2,444360
193,1,456445
307,5,844250
544,4,5270272
177,1,332406
125,7,1729000
169,4,1211392
224,7,1527232
411,5,1052160
102,4,791928
404,2,1763864
334,7,3881080
376,7,4498088
586,3,3524790
215,2,930520
99,5,962775
40,4,162400
539,2,2350040
271,4,1554456
323,4,2689944
339,5,1627200
67,3,479787
284,4,1559728
385,2,1176560
359,6,1908444
201,4,999372
223,1,166581
520,7,5671120
532,5,5511520
585,7,7809165
459,3,2972943
119,7,617253
165,7,2151765
282,1,370830
185,4,1134420
365,4,1877560
412,1,589160
260,5,2632500
51,4,267852
212,5,959300
318,6,1257372
135,3,746820
365,2,1572420
105,2,233310
337,3,1287003
428,4,3432560
39,7,274911
178,2,456392
343,6,4636674
400,7,6025600
545,5,1433350
429,2,1302444
515,7,7159530
430,7,3271870
87,6,1292472
573,2,1407288
83,4,249000
444,2,1102896
465,6,5242410
508,3,1411224
220,6,3199680
169,1,156494
579,6,4804542
214,3,1585740
521,3,3376080
388,3,1725048
557,3,977535
302,4,2486064
104,2,354016
245,1,299635
176,5,1271600
401,5,2971410
384,5,4558080
34,5,201110
298,1,153470
462,1,244398
208,2,881920
308,4,636944
477,6,4361688
222,4,1036296
92,2,238648
284,3,1234548
395,4,3117340
304,1,719872
547,1,686485
110,5,719400
534,3,2862774
102,1,83334
405,4,2676240
542,5,3531130
542,5,6100210
151,6,1799316
564,6,6666480
346,2,1171556
40,3,202680
33,2,35178
87,2,328686
340,7,3686620
399,4,3345216
455,5,5503225
259,1,432271
387,2,1897074
484,6,3490608
470,4,3171560
178,6,1462092
407,2,1212860
67,6,715158
436,4,1949792
156,5,1073280
128,5,1144320
358,5,2559700
238,5,1748110
414,2,1303272
421,4,4092120
493,2,2280618
39,2,104598
125,3,687750
568,3,3680640
48,2,61056
393,6,3008808
501,5,4656795
528,4,3003264
317,1,214292
176,5,848320
243,5,2631690
488,3,1493280
93,4,343356
229,6,924702
123,2,129150
155,3,866295
539,5,2856700
193,1,117344
388,3,1045272
353,5,2846945
364,6,1747200
430,4,3180280
263,4,1713708
393,4,1018656
324,7,5463612
294,1,441882
107,3,561750
355,4,3152400
360,6,4957200
194,3,977178
326,2,992996
277,6,3187716
538,6,7624536
173,4,1712008
320,2,1331200
458,1,734174
214,5,612040
419,6,2853390
66,6,302148
302,3,1677912
284,3,441336
502,2,2217836
548,4,1768944
259,2,1053612
280,1,590800
77,2,247016
531,2,806058
491,4,3183644
279,2,1051830
324,3,2066472
495,7,8329860
365,6,3234630
515,3,2155275
44,1,62128
451,5,2581975
347,2,777280
532,6,5263608
171,4,1387836
200,1,113400
109,6,834504
284,3,738684
258,4,1470600
148,2,449328
306,5,1380060
446,2,1794704
216,6,2217456
129,3,265869
242,1,424710
114,3,651168
398,7,2861222
200,6,2948400
345,7,3591105
185,7,1699040
36,4,159984
341,7,5518744
296,4,2468640
304,2,448096
229,2,281670
279,5,2566800
349,4,1814800
34,3,55488
127,5,492125
353,5,2347450
141,3,321057
539,6,2150610
355,1,880400
539,1,759990
355,4,1506620
598,3,4239222
399,3,2549610
530,1,772740
435,3,1458990
486,5,5710500
284,4,2419680
596,3,2218908
422,7,3465042
527,5,2476900
107,7,576730
136,3,216648
376,4,2719232
119,4,445060
339,7,2228247
257,4,678480
451,4,930864
82,7,708316
170,1,310760
62,3,405852
491,6,7356162
220,6,947760
367,4,1479744
122,4,465064
83,2,260952
368,6,3996480
269,1,427172
251,7,3022040
541,7,5922868
369,4,2773404
287,6,3974376
210,5,2085300
204,2,853128
163,4,441404
206,7,1237236
462,5,1771770
120,3,339840
567,2,1979964
197,2,862860
145,1,308705
226,7,1537704
231,2,497574
58,7,226548
330,6,4752000
378,1,571914
221,2,697476
275,3,2052600
217,4,692664
181,2,613590
458,7,4353748
519,7,2833740
237,1,311655
516,4,2916432
513,6,7116336
572,2,615472
340,6,2197080
556,2,965216
181,7,2717715
431,2,626674
278,7,4267578
410,5,2076650
505,7,2216445
186,4,1276704
297,2,406890
328,5,870840
187,5,1900855
326,3,1411254
278,6,1132572
130,5,1461200
305,3,1810785
582,2,1235004
551,2,2602924
316,2,723640
464,6,4173216
585,4,4193280
592,7,3315200
312,4,2496000
415,7,6344520
195,2,407160
343,4,3272220
48,6,406080
313,6,2837658
344,5,1069840
356,5,1641160
334,7,2980950
332,6,3031824
69,7,291249
201,4,984096
330,5,2847900
293,1,288019
597,5,4540185
148,2,318496
329,5,2455985
325,6,3018600
429,5,4562415
398,1,768538
339,3,1345491
393,4,3805812
306,1,715734
72,2,154080
92,3,456780
274,5,1728940
255,2,616590
267,5,1176135
476,5,2851240
87,7,980490
244,5,761280
430,3,2218800
262,3,415794
545,5,5662550
434,7,2834454
545,1,1359230
587,7,3652901
400,7,2472400
574,1,1311016
309,2,986328
396,1,704088
332,5,2473400
431,6,3749700
521,2,1635940
397,3,2536830
248,6,1577280
447,6,5704614
111,7,1138305
466,4,1767072
448,4,2017792
508,7,4864608
337,2,470452
250,1,591000
596,3,3946116
298,6,3282768
576,3,2671488
187,5,1824185
368,7,5504912
576,4,4094208
419,6,1998630
448,2,1288448
145,5,880150
516,6,7291080
409,6,3222102
487,4,3564840
412,3,3014604
436,7,2105880
139,4,1247664
462,5,1790250
340,5,2099500
434,3,1606668
309,3,2138589
248,4,2146688
422,1,997186
567,1,957663
376,7,3742704
292,6,2529888
395,7,1545635
421,3,1559805
378,2,1607256
557,7,5119387
251,1,271833
192,6,1073664
194,7,1208620
427,5,4455745
65,5,443625
368,3,937296
280,5,978600
48,7,817488
258,1,179310
374,3,1906278
79,1,132009
55,2,77880
374,3,1339668
433,4,1536284
403,6,1407276
337,2,847892
567,7,6572664
377,4,942500
152,7,1174656
131,4,1240832
196,4,1667568
195,4,950820
123,6,1180062
505,7,7624995
112,2,336448
352,5,3706560
193,7,3234294
426,7,6927186
311,7,5335827
438,2,1737984
170,6,1219920
125,7,1355375
164,6,1583256
105,5,305550
521,5,6106120
181,1,329420
261,7,2141244
144,5,620640
291,4,2882064
368,3,2137344
297,5,1100385
94,4,516624
322,4,2093000
388,4,1337824
452,5,1647540
559,7,9688588
44,5,300520
198,4,932184
287,4,603848
290,7,1244390
340,2,981240
158,1,317264
492,7,6540156
80,3,418560
60,6,494640
127,3,379857
401,5,2857125
226,5,992140
239,4,2209316
338,5,1843790
70,4,259840
290,1,342490
355,4,2239340
277,5,1329600
267,3,809010
250,7,2245250
574,1,948248
152,6,1692672
355,6,4649790
384,5,3411840
517,1,427559
443,6,5044884
354,5,3201930
166,2,305440
396,5,1485000
492,2,2032944
63,3,325080
234,5,940680
37,7,317275
271,1,633869
54,7,354564
132,3,517572
365,4,2819260
178,5,661270
161,6,1178520
526,4,2869856
326,1,637982
135,6,818100
119,6,947478
269,2,844660
416,1,609024
565,6,1976370
80,7,812000
88,2,301312
297,5,3216510
264,4,2490048
499,4,1902188
193,6,2620554
210,1,262080
152,4,516192
370,6,3258960
190,3,1244880
101,1,193920
385,2,532840
98,1,151410
124,1,273048
320,7,3680320
415,1,709235
372,5,3026220
506,3,1303962
505,1,1239270
117,6,851526
39,4,324792
259,1,420875
270,5,2455650
409,7,4592252
505,6,7011420
494,1,332956
71,2,74976
74,1,103378
495,3,3569940
312,1,465192
518,7,7777770
88,7,1496264
502,1,378508
424,3,2143320
45,6,410670
171,1,402363
385,7,3463075
250,5,3026250
174,2,336168
311,4,1742844
342,7,4768848
375,1,916500
246,7,2446962
537,4,2665668
316,4,1348688
573,4,2000916
229,7,1660708
148,5,932400
388,2,428352
257,6,1130286
543,6,4352688
40,6,155760
309,3,1698264
129,2,541026
186,2,210180
329,2,384272
346,6,1930680
535,7,5066985
351,1,420498
301,7,1972152
484,4,1453936
229,2,870658
111,3,716949
210,4,1874040
546,7,7005726
442,3,1402908
409,6,2316576
244,3,1136796
394,4,3520784
554,2,2763352
434,2,1366232
134,2,292388
594,7,10103940
176,4,416768
120,1,183360
390,6,2971800
102,4,665040
251,3,690501
169,6,1103232
570,3,4180950
386,7,3982748
143,6,1438866
120,5,1228800
182,5,2060240
421,2,1843980
181,7,1519133
38,7,445550
569,5,6159425
331,1,559059
302,1,385050
127,1,216027
224,7,1229312
51,2,227052
68,6,874344
297,3,580041
437,6,2726880
45,6,568620
309,3,1559214
557,4,3571484
501,1,579657
234,2,887328
36,1,38520
396,2,1418472
57,6,234270
555,2,909090
551,1,1109163
274,7,3214568
342,7,5539716
52,6,232440
383,5,3115705
482,6,4965564
158,1,312840
584,5,5632680
474,3,2369052
132,2,207504
125,6,644250
384,7,4026624
61,4,204228
299,2,1265966
346,3,875034
353,4,1380936
113,1,236509
347,4,2012600
98,7,1443344
198,1,168696
174,3,825804
538,5,2076680
156,1,220428
328,1,550712
499,2,503990
288,4,1112832
106,1,239666
560,6,7670880
35,5,217525
457,2,1529122
150,5,683250
198,6,2353428
282,6,3443220
589,5,3569340
229,4,2015200
407,1,555555
215,1,334325
495,4,2360160
482,1,1153426
446,1,373748
145,6,1224960
78,1,110370
338,4,2740504
122,4,1084824
309,7,3361302
480,2,851520
146,2,529104
41,5,460430
503,7,4397729
120,2,158160
525,6,7704900
34,3,103530
262,6,825300
62,5,472440
550,6,5831100
140,1,164500
331,1,702713
113,1,81699
518,4,2055424
35,2,77770
370,5,2366150
105,2,362460
150,7,2390850
458,4,1782536
334,7,3717420
527,2,1319608
506,6,7152816
501,6,5068116
67,5,786245
328,1,572032
290,3,836070
110,2,379280
508,5,2352040
574,1,978670
247,5,1759875
271,6,1505676
137,3,649791
179,5,2087140
239,1,342487
545,4,4867940
163,2,311330
128,7,1236480
58,3,191574
558,7,7628418
332,5,3368140
488,3,2682048
535,4,5264400
30,6,363060
74,2,302660
219,4,1875516
375,6,4639500
369,2,1802934
226,7,1181754
241,3,1267419
463,2,1979788
427,5,3994585
496,3,807984
215,5,1609275
319,2,340692
294,6,2481948
327,3,2323008
297,4,2039796
577,1,325428
36,2,98568
367,4,1340284
73,2,240024
55,5,266750
75,6,641700
407,2,1249490
91,2,344890
369,6,5216184
526,4,4134360
124,4,380432
559,1,896636
89,3,478197
203,5,1454495
473,3,1440285
61,6,279990
390,4,3690960
52,2,77480
459,4,949212
390,5,3474900
226,7,3736684
136,7,2343824
360,5,1117800
351,3,878202
212,1,372272
333,5,1914750
215,1,332390
181,7,1753528
494,6,2305992
220,5,2450800
336,2,885696
181,7,876764
143,7,982982
415,7,6138265
316,2,321056
207,5,1792620
462,3,1531530
551,5,2716430
577,3,1987188
309,1,419622
185,5,1582675
96,3,492192
78,6,669240
356,2,945536
577,3,1220355
513,7,2079189
595,7,6214180
404,5,4789420
429,3,1651221
111,2,479520
170,1,296820
187,1,393261
200,6,1929600
530,1,833160
468,4,3154320
241,3,380298
209,3,1095369
385,5,1963500
156,6,2253888
358,6,3286440
422,6,5552676
217,4,490420
64,5,374080
501,2,1035066
61,2,179462
466,7,2971682
30,7,209160
354,5,3493980
268,5,3347320
217,3,1377516
122,7,563640
595,4,4469640
369,2,735786
415,1,875235
305,1,651480
191,7,2849147
446,7,7686364
88,1,197648
580,1,1260340
496,7,6475280
261,1,651978
454,2,800856
144,3,583200
79,7,1370887
124,3,712380
505,7,6727105
295,1,192340
582,1,307296
443,7,7163310
238,1,158746
173,7,993020
83,2,207832
315,6,2328480
396,5,3223440
93,2,209808
258,6,2388564
432,5,2287440
122,4,763720
550,2,1813900
84,4,352128
244,1,365756
517,3,2782494
540,7,3496500
513,4,2218212
300,4,2583600
278,1,485666
141,7,1820028
204,1,241332
39,1,46215
378,6,3147984
499,6,5847282
166,5,781030
61,3,296826
468,5,1556100
558,5,6417000
393,7,6112722
108,2,535248
157,6,652806
111,6,1601730
330,6,4118400
119,4,490280
539,2,2673440
263,6,1453338
258,7,3444042
307,7,1480661
357,6,3774204
137,1,72336
588,5,4618740
81,4,619164
183,4,389424
40,4,380000
427,7,6707316
413,1,343203
168,3,797832
503,5,5223655
77,6,1024254
596,1,462496
232,1,393008
89,3,430404
347,7,1454971
63,3,247212
432,1,945216
83,5,891005
516,6,4752360
385,6,3862320
554,7,8073996
387,6,1432674
397,3,787251
166,1,102920
255,2,1161780
136,5,576640
184,7,2112320
308,7,1442364
291,4,1180296
451,3,1030986
392,5,2863560
152,5,1839960
141,1,253941
249,3,872496
417,7,5718321
468,5,2798640
556,4,3146960
328,2,1123728
87,6,987624
474,2,1967100
234,7,3731364
239,5,2766425
497,2,2443252
469,7,3791865
300,3,725400
513,4,3773628
488,2,1967616
568,4,1251872
97,7,561533
256,2,343552
404,2,1868904
64,7,554624
272,5,1198160
548,3,1816620
386,2,602160
378,6,2857680
157,5,1490715
79,4,698044
117,4,807300
426,1,886932
515,3,2328315
130,4,789880
73,6,867678
335,5,2500775
98,6,472752
364,4,2105376
314,3,1277352
191,2,655130
475,4,1246400
119,5,1205470
357,6,4740246
133,6,1406874
446,7,6172194
547,6,7036608
590,6,2902800
114,2,253080
383,3,2406006
54,4,125712
445,6,5097030
368,5,3753600
219,4,1575924
441,2,612990
422,4,2803768
57,1,30780
41,1,100696
32,4,164864
569,5,4093955
195,3,744705
351,7,2422602
491,3,1894278
143,2,426712
418,3,3082332
79,1,98197
129,7,1499883
187,4,1713668
534,2,2435040
139,2,498176
154,5,847770
593,4,5431880
348,1,359136
301,7,3520797
214,2,511032
247,1,216125
76,4,632624
422,4,1892248
216,7,3722544
370,4,3599360
599,7,4163649
585,1,1435590
271,2,465578
132,4,809952
333,1,650016
165,2,510840
342,6,2054052
356,2,1177648
152,2,457520
177,6,541620
309,6,4121442
181,6,940476
455,3,1418235
370,5,4304950
571,1,432247
396,4,1869120
594,5,2996730
190,5,1362300
470,1,727560
265,7,1587880
364,7,5090904
153,3,732564
437,7,7448665
68,3,367608
563,4,4022072
594,3,4068306
83,6,1202172
329,4,2970212
512,1,506368
325,7,2736825
564,3,1815516
223,6,988782
469,7,5863438
119,4,1019592
92,4,579232
296,7,1953896
369,1,897408
452,7,6172964
464,2,1805888
265,3,696420
144,5,1193040
550,2,1063700
544,2,1027072
576,1,377856
518,5,2289560
184,1,152352
345,2,1410360
191,5,2024600
54,6,557280
235,6,2442120
494,3,3263364
585,5,2225925
198,1,196614
78,4,355368
250,2,1218500
403,2,876928
82,4,169576
201,6,1781262
531,1,413118
206,2,467620
471,5,2571660
79,3,394605
249,2,961638
509,2,2463560
293,3,1475841
394,7,4070808
189,7,2024190
224,2,866880
491,3,876435
574,3,1747830
88,3,352704
199,4,1510808
524,6,6872784
319,6,3627030
545,2,2702110
520,5,6016400
594,3,3343032
131,5,1024420
526,7,4827102
355,4,1843160
302,3,1804752
233,7,1396136
362,7,1773800
289,6,3539094
283,1,408935
285,6,4105710
469,6,5689908
459,6,6593076
526,3,3362718
89,5,285245
422,6,5912220
200,7,3103800
568,4,5473248
370,1,246050
236,1,564276
486,5,2135970
570,2,1657560
147,3,611226
119,1,118286
353,6,3662022
213,2,889914
328,1,589088
78,6,1126944
436,3,948300
193,4,763508
86,1,85054
189,7,2951613
458,2,917832
30,6,90900
38,6,177612
564,4,4056288
342,4,1110816
50,2,140000
568,5,4100960
572,3,2450448
305,2,915610
575,2,2659950
353,6,2937666
533,1,820287
582,7,6889134
423,5,2751615
212,7,3116400
95,4,793820
72,5,551160
125,6,546750
174,4,441264
217,7,1784825
369,1,830619
212,4,836128
218,1,526470
534,7,5644380
403,7,6770400
513,5,5827680
232,7,1120560
253,2,478170
350,3,606900
218,7,1924286
229,1,128011
413,1,989135
530,5,2268400
430,5,3085250
277,5,3083010
104,1,230568
75,4,676200
104,2,132704
122,1,73078
494,4,1418768
62,2,139624
231,2,963270
185,1,120435
483,4,1713684
455,7,2267720
246,5,831480
385,6,3841530
399,3,2383227
237,3,935676
260,5,1896700
64,4,404736
490,4,4233600
472,3,1703448
185,6,1257630
227,5,2308590
200,2,848400
569,7,3632496
418,5,2974070
159,7,2670087
211,3,635532
369,1,816597
377,7,6592222
474,3,2187036
103,4,565676
398,1,983060
288,6,3741120
86,1,59770
451,5,3028465
102,4,457368
402,4,1407000
308,4,2289056
526,2,698528
332,7,4996600
575,2,841800
147,1,308994
284,5,1160140
297,3,1813185
382,2,1203300
157,6,927870
525,4,2767800
144,4,930816
544,2,2243456
103,5,484100
219,4,1502340
326,3,1170666
70,5,467600
260,1,618540
205,3,309960
244,6,743712
487,7,5611214
452,3,1658388
36,7,590940
283,4,2699820
224,1,225792
444,3,1266732
416,4,1394432
114,7,1114008
128,7,2183552
411,4,3218952
264,4,1605120
261,1,528786
311,2,678602
226,2,934284
351,5,2514915
138,5,1027410
402,3,2788272
209,4,1962092
84,4,797328
570,4,2966280
581,4,3186204
327,4,2103264
218,4,709808
594,1,1337094
220,4,639760
477,6,3205440
446,7,2709896
78,2,104832
415,1,876065
326,5,1429510
39,7,561015
507,3,1555983
283,2,615242
32,6,109248
94,4,727936
378,7,4617270
558,4,2459664
267,5,1982475
423,1,585432
234,6,1623024
577,6,3853206
327,2,366894
460,5,1757200
250,1,284750
157,4,581528
312,4,1339104
549,2,1298934
210,6,2336040
583,6,2592018
239,2,521498
420,3,2605680
560,1,1226960
335,2,1187910
149,7,1125397
203,7,1477840
550,5,3049750
439,4,3285476
563,7,6463240
412,2,640248
159,7,1261029
416,3,2869152
385,7,6098785
480,1,284160
152,3,749208
592,4,5652416
189,1,295974
396,2,1068408
56,3,409416
253,4,759000
161,6,2072070
187,6,2532354
357,2,590478
588,6,8700048
75,3,245475
436,3,2397564
235,1,220665
260,7,3188640
253,2,1039324
253,6,1294854
69,3,401580
535,6,5033280
447,6,2781234
212,5,1623920
124,3,404364
254,2,800608
456,1,398544
258,3,457434
231,6,2009700
454,6,6237960
101,5,754470
560,4,3248000
384,3,2259072
111,2,283716
575,3,3032550
230,5,806150
578,4,1458872
100,7,913500
153,6,1178712
315,4,2518740
595,1,1379805
521,4,1050336
311,5,1769590
369,3,1004049
366,5,3224460
197,6,1904202
438,4,3673944
271,2,565848
365,6,1979760
424,4,2698336
393,6,2233026
293,2,1051284
313,7,3858351
385,2,770770
435,1,513300
66,3,388674
588,1,1025472
190,5,726750
277,6,1922934
493,2,943602
77,6,415800
117,3,714987
493,3,798660
586,3,2738964
100,3,721800
146,4,457856
225,6,2331450
441,2,914634
521,3,2974389
443,7,6574120
350,1,196700
164,2,567440
88,3,534336
467,5,2015105
593,6,7404198
